QuantityX; Name; Edition; Foil; CMC; Mana Cost; Quantity; Toughness; Power; Rarity; Price (total); Card Type; Card Text; Card Rulings
1x; Sunspire Gatekeepers; Dragon's Maze; ; 4; 3W; 1; 4; 2; C; 0.1998; Creature - Human Soldier; "When Sunspire Gatekeepers enters the battlefield, if you control two or more Gates, create a 2/2 white Knight creature token with vigilance."; ""
1x; Sunspire Griffin; Return to Ravnica; ; 3; 1WW; 1; 3; 2; C; 0.1998; Creature - Griffin; "Flying"; ""
3x; Tireless Missionaries; Magic 2015; ; 5; 4W; 3; 3; 2; C; 0.5994; Creature - Human Cleric; "When Tireless Missionaries enters the battlefield, you gain 3 life."; ""
1x; Trained Caracal; Return to Ravnica; ; 1; W; 1; 1; 1; C; 0.1998; Creature - Cat; "Lifelink (Damage dealt by this creature also causes you to gain that much life.)"; ""
1x; War Behemoth; Khans of Tarkir; ; 6; 5W; 1; 6; 3; C; 0.1998; Creature - Beast; "Morph {4}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)"; "• Morph lets you cast a card face down by paying {3}, and lets you turn the face-down permanent face up any time you have priority by paying its morph cost.
• The face-down spell has no mana cost and has a converted mana cost of 0. When you cast a face-down spell, put it on the stack face down so no other player knows what it is, and pay {3}. This is an alternative cost.
• When the spell resolves, it enters the battlefield as a 2/2 creature with no name, mana cost, creature types, or abilities. It's colorless and has a converted mana cost of 0. Other effects that apply to the creature can still grant it any of these characteristics.
• Any time you have priority, you may turn the face-down creature face up by revealing what its morph cost is and paying that cost. This is a special action. It doesn't use the stack and can't be responded to. Only a face-down permanent can be turned face up this way; a face-down spell cannot.
• Because the permanent is on the battlefield both before and after it's turned face up, turning a permanent face up doesn't cause any enters-the-battlefield abilities to trigger.
• A permanent that turns face up or face down changes characteristics but is otherwise the same permanent. Spells and abilities that were targeting that permanent, as well as Auras and Equipment that were attached to the permanent, aren't affected.
• At any time, you can look at a face-down spell or permanent you control. You can't look at face-down spells or permanents you don't control unless an effect instructs you to do so.
• You must ensure that your face-down spells and permanents can easily be differentiated from each other. You're not allowed to mix up the cards that represent them on the battlefield in order to confuse other players. The order they entered the battlefield should remain clear. Common methods for doing this include using markers or dice, or simply placing them in order on the battlefield.
• If a face-down permanent leaves the battlefield, you must reveal it. You must also reveal all face-down spells and permanents you control if you leave the game or if the game ends."
2x; Wingsteed Rider; Theros; ; 3; 1WW; 2; 2; 2; C; 0.3996; Creature - Human Knight; "Flying
Heroic  Whenever you cast a spell that targets Wingsteed Rider, put a +1/+1 counter on Wingsteed Rider."; "• Heroic abilities will resolve before the spell that caused them to trigger.
• Heroic abilities will trigger only once per spell, even if that spell targets the creature with the heroic ability multiple times.
• Heroic abilities won't trigger when a copy of a spell is created on the stack or when a spell's targets are changed to include a creature with a heroic ability."
2x; Yoked Ox; Magic Origins; ; 1; W; 2; 4; 0; C; 0.3996; Creature - Ox; ""; ""
1x; Zarichi Tiger; Gatecrash; ; 4; 3W; 1; 3; 2; C; 0.1998; Creature - Cat; "{1}{W}, {T}: You gain 2 life."; ""
2x; Abzan Runemark; Fate Reforged; ; 3; 2W; 2; 0; 0; C; 0.3996; Enchantment - Aura; "Enchant creature
Enchanted creature gets +2/+2.
Enchanted creature has vigilance as long as you control a black or green permanent."; ""
3x; Armament of Nyx; Journey into Nyx; ; 3; 2W; 3; 0; 0; C; 0.5994; Enchantment - Aura; "Enchant creature
Enchanted creature has double strike as long as it's an enchantment. Otherwise, prevent all damage that would be dealt by enchanted creature. (A creature with double strike deals both first-strike and regular combat damage.)"; "• Armament of Nyx continuously checks to see whether the creature it's enchanting is an enchantment or not. If the creature isn't an enchantment and becomes one, or it is an enchantment and stops being one, the effect will change."
1x; Chosen by Heliod; Theros; ; 2; 1W; 1; 0; 0; C; 0.1998; Enchantment - Aura; "Enchant creature
When Chosen by Heliod enters the battlefield, draw a card.
Enchanted creature gets +0/+2."; "• If the target of an Aura is illegal when it tries to resolve, the Aura won't resolve. The Aura doesn't enter the battlefield, so you won't get to draw a card."
1x; Circle of Protection: White; Ice Age; ; 2; 1W; 1; 0; 0; C; 0.1998; Enchantment; "{1}: The next time a white source of your choice would deal damage to you this turn, prevent that damage."; "• A source of damage is a permanent, a spell on the stack (including one that creates a permanent), or any object referred to by an object on the stack. A source doesn't need to be capable of dealing damage to be a legal choice.
• Can be used even when there is no damage to prevent. It prevents the next damage (if any) from the source this turn."
1x; Defang; Avacyn Restored; ; 2; 1W; 1; 0; 0; C; 0.1998; Enchantment - Aura; "Enchant creature
Prevent all damage that would be dealt by enchanted creature."; ""
1x; Divine Favor; Magic 2012; ; 2; 1W; 1; 0; 0; C; 0.1998; Enchantment - Aura; "Enchant creature
When Divine Favor enters the battlefield, you gain 3 life.
Enchanted creature gets +1/+3."; "• If the creature targeted by Divine Favor is an illegal target when Divine Favor tries to resolve, Divine Favor won't resolve. It won't enter the battlefield and its enters-the-battlefield ability won't trigger."
2x; Divine Favor; Magic 2015; ; 2; 1W; 2; 0; 0; C; 0.3996; Enchantment - Aura; "Enchant creature
When Divine Favor enters the battlefield, you gain 3 life.
Enchanted creature gets +1/+3."; "• If the creature targeted by Divine Favor is an illegal target when Divine Favor tries to resolve, Divine Favor won't resolve. It won't enter the battlefield and its enters-the-battlefield ability won't trigger."
3x; Ephara's Radiance; Born of the Gods; ; 1; W; 3; 0; 0; C; 0.5994; Enchantment - Aura; "Enchant creature
Enchanted creature has "{1}{W}, {T}: You gain 3 life.""; ""
2x; Font of Vigor; Journey into Nyx; ; 2; 1W; 2; 0; 0; C; 0.3996; Enchantment; "{2}{W}, Sacrifice Font of Vigor: You gain 7 life."; ""
1x; Ghostly Possession; Innistrad; ; 3; 2W; 1; 0; 0; C; 0.1998; Enchantment - Aura; "Enchant creature
Enchanted creature has flying.
Prevent all combat damage that would be dealt to and dealt by enchanted creature."; ""
2x; Guardian Zendikon; Conspiracy; ; 3; 2W; 2; 0; 0; C; 0.3996; Enchantment - Aura; "Enchant land
Enchanted land is a 2/6 white Wall creature with defender. It's still a land.
When enchanted land dies, return that card to its owner's hand."; "• The enchanted permanent will be both a land and a creature and can be affected by anything that affects either a land or a creature.
• When a land becomes a creature, that doesn't count as having a creature enter the battlefield. The permanent was already on the battlefield; it only changed its types. Abilities that trigger whenever a creature enters the battlefield won't trigger.
• An attacking or blocking creature that stops being a creature is removed from combat. This can happen if a Zendikon enchanting an attacking or blocking creature leaves the battlefield, for example. The permanent that was removed from combat neither deals nor is dealt combat damage. Any attacking creature that the land creature was blocking remains blocked, however.
• An ability that turns a land into a creature also sets that creature's power and toughness. If the land was already a creature, this will overwrite the previous effect that set its power and toughness. Effects that modify its power or toughness, such as the effects of Disfigure or Glorious Anthem, will continue to apply, no matter when they started to take effect. The same is true for counters that change its power or toughness (such as +1/+1 counters) and effects that switch its power and toughness.
• If a Zendikon and the land it's enchanting are destroyed at the same time (due to Akroma's Vengeance, for example), the Zendikon's last ability will still trigger.
• If a Zendikon's last ability triggers, but the land card it refers to leaves the graveyard before it resolves, it will resolve but do nothing."
1x; Guardian Zendikon; Worldwake; ; 3; 2W; 1; 0; 0; C; 0.1998; Enchantment - Aura; "Enchant land
Enchanted land is a 2/6 white Wall creature with defender. It's still a land.
When enchanted land dies, return that card to its owner's hand."; "• The enchanted permanent will be both a land and a creature and can be affected by anything that affects either a land or a creature.
• When a land becomes a creature, that doesn't count as having a creature enter the battlefield. The permanent was already on the battlefield; it only changed its types. Abilities that trigger whenever a creature enters the battlefield won't trigger.
• An attacking or blocking creature that stops being a creature is removed from combat. This can happen if a Zendikon enchanting an attacking or blocking creature leaves the battlefield, for example. The permanent that was removed from combat neither deals nor is dealt combat damage. Any attacking creature that the land creature was blocking remains blocked, however.
• An ability that turns a land into a creature also sets that creature's power and toughness. If the land was already a creature, this will overwrite the previous effect that set its power and toughness. Effects that modify its power or toughness, such as the effects of Disfigure or Glorious Anthem, will continue to apply, no matter when they started to take effect. The same is true for counters that change its power or toughness (such as +1/+1 counters) and effects that switch its power and toughness.
• If a Zendikon and the land it's enchanting are destroyed at the same time (due to Akroma's Vengeance, for example), the Zendikon's last ability will still trigger.
• If a Zendikon's last ability triggers, but the land card it refers to leaves the graveyard before it resolves, it will resolve but do nothing."
1x; Knightly Valor; Return to Ravnica; ; 5; 4W; 1; 0; 0; C; 0.1998; Enchantment - Aura; "Enchant creature
When Knightly Valor enters the battlefield, create a 2/2 white Knight creature token with vigilance. (Attacking doesn't cause it to tap.)
Enchanted creature gets +2/+2 and has vigilance."; "• You need a creature for Knightly Valor to target as you cast it. There's no way to have it enter the battlefield attached to the Knight token it'll create.
• If the creature this Aura would enchant is an illegal target by the time Knightly Valor tries to resolve, the Aura spell doesn't resolve. It won't enter the battlefield, so its ability won't trigger."
2x; Mortal Obstinacy; Journey into Nyx; ; 1; W; 2; 0; 0; C; 0.3996; Enchantment - Aura; "Enchant creature you control
Enchanted creature gets +1/+1.
Whenever enchanted creature deals combat damage to a player, you may sacrifice Mortal Obstinacy. If you do, destroy target enchantment."; "• You decide whether to sacrifice Mortal Obstinacy as its triggered ability resolves. If it's not on the battlefield at that time, you can't sacrifice it and destroy the target enchantment.
• If another player gains control of the enchanted creature, Mortal Obstinacy will be put into its owner's graveyard."
3x; Oppressive Rays; Journey into Nyx; ; 1; W; 3; 0; 0; C; 0.5994; Enchantment - Aura; "Enchant creature
Enchanted creature can't attack or block unless its controller pays {3}.
Activated abilities of enchanted creature cost {3} more to activate."; "• The enchanted creature's controller can choose to not attack or block with it even if it must attack or block if able. Players can't be forced to pay a cost to attack or block.
• Activated abilities are written in the form Cost: Effect. Some keywords are activated abilities and will have colons in their reminder texts. Static and triggered abilities are unaffected by Oppressive Rays."
2x; Oppressive Rays; Magic 2015; ; 1; W; 2; 0; 0; C; 0.3996; Enchantment - Aura; "Enchant creature
Enchanted creature can't attack or block unless its controller pays {3}.
Activated abilities of enchanted creature cost {3} more to activate."; "• The enchanted creature's controller can choose to not attack or block with it even if it must attack or block if able. Players can't be forced to pay a cost to attack or block.
• Activated abilities are written in the form Cost: Effect. Some keywords are activated abilities and will have colons in their reminder texts. Static and triggered abilities are unaffected by Oppressive Rays."
1x; Pacifism; Dragons of Tarkir; ; 2; 1W; 1; 0; 0; C; 0.1998; Enchantment - Aura; "Enchant creature
Enchanted creature can't attack or block."; ""
4x; Pacifism; Magic 2012; ; 2; 1W; 4; 0; 0; C; 0.7992; Enchantment - Aura; "Enchant creature
Enchanted creature can't attack or block."; ""
1x; Pacifism; Magic 2014 Core Set; ; 2; 1W; 1; 0; 0; C; 0.1998; Enchantment - Aura; "Enchant creature
Enchanted creature can't attack or block."; ""
2x; Suppression Bonds; Magic Origins; ; 4; 3W; 2; 0; 0; C; 0.3996; Enchantment - Aura; "Enchant nonland permanent
Enchanted permanent can't attack or block, and its activated abilities can't be activated."; "• Suppression Bonds can enchant any nonland permanent, not just a creature.
• Activated abilities contain a colon. They're generally written [Cost]: [Effect]. Some keywords are activated abilities and will have colons in their reminder texts. The loyalty abilities of planeswalkers are activated abilities."
3x; Abzan Advantage; Fate Reforged; ; 2; 1W; 3; 0; 0; C; 0.5994; Instant; "Target player sacrifices an enchantment. Bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)"; "• You can target any player with Abzan Advantage, even if that player doesn't control an enchantment.
• The enchantment will have already left the battlefield when you bolster 1.
• Bolster itself doesn't target any creature, though some spells and abilities that bolster may have other effects that target creatures. For example, you could put counters on a creature with protection from white with Abzan Skycaptain's bolster ability.
• You determine which creature to put counters on as the spell or ability that instructs you to bolster resolves."
2x; Artful Maneuver; Dragons of Tarkir; ; 2; 1W; 2; 0; 0; C; 0.3996; Instant; "Target creature gets +2/+2 until end of turn.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)"; "• Casting the card again due to the delayed triggered ability is optional. If you choose not to cast the card, or if you can't (perhaps because there are no legal targets available), the card will stay exiled. You won't get another chance to cast it on a future turn.
• If a spell with rebound that you cast from your hand doesn't resolve for any reason (either because another spell or ability counters it or because all its targets are illegal as it tries to resolve), none of its effects will happen, including rebound. The spell will be put into its owner's graveyard and you won't get to cast it again on your next turn.
• At the beginning of your upkeep, all delayed triggered abilities created by rebound effects trigger. You may handle them in any order. If you want to cast a card this way, you do so as part of the resolution of its delayed triggered ability. Timing restrictions based on the card's type (if it's a sorcery) are ignored. Other restrictions, such as Cast [this spell] only during combat, must be followed.
• As long as you cast a spell with rebound from your hand, rebound will work regardless of whether you paid its mana cost or an alternative cost you were permitted to pay.
• If you cast a spell with rebound from any zone other than your hand (including your opponent's hand), rebound will have no effect.
• If a replacement effect (such as the one created by Rest in Peace) would cause a spell with rebound that you cast from your hand to be put somewhere other than into your graveyard as it resolves, you can choose whether to apply the rebound effect or the other effect as the spell resolves.
• Rebound will have no effect on copies of spells because you don't cast them from your hand.
• If you cast a card from exile this way, it will go to its owner's graveyard when it resolves, fails to resolve, or is countered. It won't go back to exile."
1x; Cease-Fire; Odyssey; ; 3; 2W; 1; 0; 0; C; 0.1998; Instant; "Target player can't cast creature spells this turn.
Draw a card."; "• This spell will not counter any creature spells on the stack. It only prevents new creature spells from being cast after it resolves."
4x; Celestial Flare; Magic Origins; ; 2; WW; 4; 0; 0; C; 0.7992; Instant; "Target player sacrifices an attacking or blocking creature."; "• Celestial Flare targets only a player, not any creature. A creature with hexproof or protection from white can be sacrificed this way.
• If the player sacrifices a blocking creature, any attacking creature it was blocking remains blocked. Unless that attacking creature has trample or is being blocked by another creature, it won't assign or deal combat damage.
• Creatures continue to be attacking or blocking creatures through the end of combat step. It is possible to cast Celestial Flare within combat but after combat damage is dealt (specifically, during the combat damage step or the end of combat step). Only attacking and blocking creatures that survived combat damage can be sacrificed at this time."
1x; Center Soul; Dragons of Tarkir; ; 2; 1W; 1; 0; 0; C; 0.1998; Instant; "Target creature you control gains protection from the color of your choice until end of turn.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)"; "• Casting the card again due to the delayed triggered ability is optional. If you choose not to cast the card, or if you can't (perhaps because there are no legal targets available), the card will stay exiled. You won't get another chance to cast it on a future turn.
• If a spell with rebound that you cast from your hand doesn't resolve for any reason (either because another spell or ability counters it or because all its targets are illegal as it tries to resolve), none of its effects will happen, including rebound. The spell will be put into its owner's graveyard and you won't get to cast it again on your next turn.
• At the beginning of your upkeep, all delayed triggered abilities created by rebound effects trigger. You may handle them in any order. If you want to cast a card this way, you do so as part of the resolution of its delayed triggered ability. Timing restrictions based on the card's type (if it's a sorcery) are ignored. Other restrictions, such as Cast [this spell] only during combat, must be followed.
• As long as you cast a spell with rebound from your hand, rebound will work regardless of whether you paid its mana cost or an alternative cost you were permitted to pay.
• If you cast a spell with rebound from any zone other than your hand (including your opponent's hand), rebound will have no effect.
• If a replacement effect (such as the one created by Rest in Peace) would cause a spell with rebound that you cast from your hand to be put somewhere other than into your graveyard as it resolves, you can choose whether to apply the rebound effect or the other effect as the spell resolves.
• Rebound will have no effect on copies of spells because you don't cast them from your hand.
• If you cast a card from exile this way, it will go to its owner's graveyard when it resolves, fails to resolve, or is countered. It won't go back to exile."
1x; Demystify; Magic 2012; ; 1; W; 1; 0; 0; C; 0.1998; Instant; "Destroy target enchantment."; ""
3x; Divine Verdict; Magic 2013; ; 4; 3W; 3; 0; 0; C; 0.5994; Instant; "Destroy target attacking or blocking creature."; "• An attacking creature is one that has been declared as an attacker this combat, or one that was put onto the battlefield attacking this combat. Unless that creature leaves combat, it continues to be an attacking creature through the end of combat step, even if the player it was attacking has left the game, or the planeswalker it was attacking has left combat.
• A blocking creature is one that has been declared as a blocker this combat, or one that was put onto the battlefield blocking this combat. Unless that creature leaves combat, it continues to be a blocking creature through the end of combat step, even if the creature or creatures it was blocking are no longer on the battlefield or have otherwise left combat.
• Destroying a blocking creature won't cause any of the creatures it was blocking to become unblocked. They won't deal combat damage to the defending player or planeswalker (unless they have trample)."
1x; Divine Verdict; Magic Origins; ; 4; 3W; 1; 0; 0; C; 0.1998; Instant; "Destroy target attacking or blocking creature."; "• An attacking creature is one that has been declared as an attacker this combat, or one that was put onto the battlefield attacking this combat. Unless that creature leaves combat, it continues to be an attacking creature through the end of combat step, even if the player it was attacking has left the game, or the planeswalker it was attacking has left combat.
• A blocking creature is one that has been declared as a blocker this combat, or one that was put onto the battlefield blocking this combat. Unless that creature leaves combat, it continues to be a blocking creature through the end of combat step, even if the creature or creatures it was blocking are no longer on the battlefield or have otherwise left combat.
• Destroying a blocking creature won't cause any of the creatures it was blocking to become unblocked. They won't deal combat damage to the defending player or planeswalker (unless they have trample)."
3x; Enduring Victory; Dragons of Tarkir; ; 5; 4W; 3; 0; 0; C; 0.5994; Instant; "Destroy target attacking or blocking creature. Bolster 1. (Choose a creature with the least toughness among creatures you control and put a +1/+1 counter on it.)"; "• Bolster itself doesn't target any creature, though some spells and abilities that bolster may have other effects that target creatures. For example, you could put counters on a creature with protection from white with Aven Tactician's bolster ability.
• You determine which creature to put counters on as the spell or ability that instructs you to bolster resolves. That could be the creature with the bolster ability, if it's still under your control and has the least toughness."
3x; Enshrouding Mist; Magic Origins; ; 1; W; 3; 0; 0; C; 0.5994; Instant; "Target creature gets +1/+1 until end of turn. Prevent all damage that would be dealt to it this turn. If it's renowned, untap it."; ""
2x; Erase; Khans of Tarkir; ; 1; W; 2; 0; 0; C; 0.3996; Instant; "Exile target enchantment."; "• The card does not go to the graveyard first."
1x; Feat of Resistance; Khans of Tarkir; ; 2; 1W; 1; 0; 0; C; 0.1998; Instant; "Put a +1/+1 counter on target creature you control. It gains protection from the color of your choice until end of turn."; "• You choose the color as Feat of Resistance resolves."
1x; Fortify; Magic 2014 Core Set; ; 3; 2W; 1; 0; 0; C; 0.1998; Instant; "Choose one -
 Creatures you control get +2/+0 until end of turn.
 Creatures you control get +0/+2 until end of turn."; "• You choose the mode as you cast Fortify, not as it resolves.
• Creatures that come under your control after Fortify resolves won't get the chosen bonus."
1x; Fulgent Distraction; Scars of Mirrodin; ; 3; 2W; 1; 0; 0; C; 0.1998; Instant; "Choose two target creatures. Tap those creatures, then unattach all Equipment from them."; "• You must target two creatures as you cast Fulgent Distraction. If you can't (because there's just one creature on the battlefield, perhaps), you can't cast the spell.
• Fulgent Distraction can target tapped and/or unequipped creatures.
• If one of the targeted creatures is an illegal target by the time Fulgent Distraction resolves, that creature won't become tapped and no Equipment will be unattached from it. The other creature will still be affected. If both of the targeted creatures are illegal targets by the time Fulgent Distraction resolves, the spell doesn't resolve."
8x; Hold at Bay; Born of the Gods; ; 2; 1W; 8; 0; 0; C; 1.5984; Instant; "Prevent the next 7 damage that would be dealt to any target this turn."; ""
1x; Kill Shot; Khans of Tarkir; ; 3; 2W; 1; 0; 0; C; 0.1998; Instant; "Destroy target attacking creature."; ""
1x; Kor Chant; Conspiracy; ; 3; 2W; 1; 0; 0; C; 0.1998; Instant; "All damage that would be dealt this turn to target creature you control by a source of your choice is dealt to another target creature instead."; ""
2x; Last Breath; Theros; ; 2; 1W; 2; 0; 0; C; 0.3996; Instant; "Exile target creature with power 2 or less. Its controller gains 4 life."; "• If the creature is an illegal target when Last Breath tries to resolve, it won't resolve and none of its effects will happen. Its controller won't gain 4 life."
2x; Meditation Puzzle; Magic 2015; ; 5; 3WW; 2; 0; 0; C; 0.3996; Instant; "Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
You gain 8 life."; "• The rules for convoke have changed slightly since it last appeared in an expansion. Previously, convoke reduced the cost to cast a spell. Under current rules, you tap creatures at the same time you pay the spell's costs. Tapping a creature this way is simply another way to pay.
• Convoke doesn't change a spell's mana cost or converted mana cost.
• When calculating a spell's total cost, include any alternative costs, additional costs, or anything else that increases or reduces the cost to cast the spell. Convoke applies after the total cost is calculated.
• Because convoke isn't an alternative cost, it can be used in conjunction with alternative costs.
• Tapping a multicolored creature using convoke will pay for {1} or one mana of your choice of any of that creature's colors.
• When using convoke to cast a spell with {X} in its mana cost, first choose the value for X. That choice, plus any cost increases or decreases, will determine the spell's total cost. Then you can tap creatures you control to help pay that cost. For example, if you cast Chord of Calling (a spell with convoke and mana cost {X}{G}{G}{G}) and choose X to be 3, the total cost is {3}{G}{G}{G}. If you tap two green creatures and two red creatures, you'll have to pay {1}{G}.
• If a creature you control has a mana ability with {T} in the cost, activating that ability while casting a spell with convoke will result in the creature being tapped when you pay the spell's costs. You won't be able to tap it again for convoke. Similarly, if you sacrifice a creature to activate a mana ability while casting a spell with convoke, that creature won't be on the battlefield when you pay the spell's costs, so you won't be able to tap it for convoke."
1x; Moment of Heroism; Innistrad; ; 2; 1W; 1; 0; 0; C; 0.1998; Instant; "Target creature gets +2/+2 and gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.)"; "• Multiple instances of lifelink on the same creature are redundant."
3x; Mortal's Ardor; Born of the Gods; ; 1; W; 3; 0; 0; C; 0.5994; Instant; "Target creature gets +1/+1 and gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.)"; ""
1x; Pay No Heed; Duel Decks: Heroes vs. Monsters; ; 1; W; 1; 0; 0; C; 0.1998; Instant; "Prevent all damage a source of your choice would deal this turn."; "• Pay No Heed doesn't target anything. You can choose a source with hexproof, for example. You choose the damage source as Pay No Heed resolves.
• If the chosen source is a permanent spell, damage dealt later in the turn by the permanent it becomes will also be prevented."
1x; Pillar of Light; Magic 2015; ; 3; 2W; 1; 0; 0; C; 0.1998; Instant; "Exile target creature with toughness 4 or greater."; ""
2x; Pressure Point; Fate Reforged; ; 2; 1W; 2; 0; 0; C; 0.3996; Instant; "Tap target creature.
Draw a card."; ""
1x; Rebuke; Innistrad; ; 3; 2W; 1; 0; 0; C; 0.1998; Instant; "Destroy target attacking creature."; ""
1x; Repel the Darkness; Duel Decks: Zendikar vs. Eldrazi; ; 3; 2W; 1; 0; 0; C; 0.1998; Instant; "Tap up to two target creatures.
Draw a card."; "• You may target zero, one, or two creatures. The creatures don't need to be untapped.
• If you target zero creatures, all that happens is you draw a card.
• If you target one creature and that target is illegal as Repel the Darkness resolves, the spell doesn't resolve. You don't draw a card.
• If you target two creatures and they're both illegal as Repel the Darkness resolves, the spell doesn't resolve; you don't draw a card. If just one target is illegal, the spell does resolve; the remaining legal target becomes tapped (if it's untapped at that time) and you draw a card."
1x; Resupply; Dragons of Tarkir; ; 6; 5W; 1; 0; 0; C; 0.1998; Instant; "You gain 6 life.
Draw a card."; ""
1x; Safe Passage; Magic 2013; ; 3; 2W; 1; 0; 0; C; 0.1998; Instant; "Prevent all damage that would be dealt to you and creatures you control this turn."; "• Safe Passage prevents all damage, not just combat damage, that would be dealt to you and creatures you control this turn.
• Safe Passage will prevent damage dealt to creatures that weren't on the battlefield at the time it resolved.
• Safe Passage doesn't prevent damage that would be dealt to planeswalkers you control.
• Safe Passage has no effect on damage that's already been dealt."
1x; Skillful Lunge; Dark Ascension; ; 2; 1W; 1; 0; 0; C; 0.1998; Instant; "Target creature gets +2/+0 and gains first strike until end of turn."; ""
1x; Smite the Monstrous; Battle for Zendikar; ; 4; 3W; 1; 0; 0; C; 0.1998; Instant; "Destroy target creature with power 4 or greater."; ""
1x; Swift Justice; Return to Ravnica; ; 1; W; 1; 0; 0; C; 0.1998; Instant; "Until end of turn, target creature gets +1/+0 and gains first strike and lifelink."; ""
1x; Angelic Edict; Gatecrash; ; 5; 4W; 1; 0; 0; C; 0.1998; Sorcery; "Exile target creature or enchantment."; ""
2x; Excoriate; Born of the Gods; ; 4; 3W; 2; 0; 0; C; 0.3996; Sorcery; "Exile target tapped creature."; ""
4x; Healing Hands; Magic Origins; ; 3; 2W; 4; 0; 0; C; 0.7992; Sorcery; "Target player gains 4 life.
Draw a card."; ""
1x; Knight Watch; Gatecrash; ; 5; 4W; 1; 0; 0; C; 0.1998; Sorcery; "Create two 2/2 white Knight creature tokens with vigilance."; ""
1x; Kytheon's Tactics; Magic Origins; ; 3; 1WW; 1; 0; 0; C; 0.1998; Sorcery; "Creatures you control get +2/+1 until end of turn.
Spell mastery - If there are two or more instant and/or sorcery cards in your graveyard, those creatures also gain vigilance until end of turn. (Attacking doesn't cause them to tap.)"; "• Check to see if there are two or more instant and/or sorcery cards in your graveyard as the spell resolves to determine whether the spell mastery ability applies. The spell itself won't count because it's still on the stack as you make this check."
1x; Rousing of Souls; Conspiracy; ; 3; 2W; 1; 0; 0; C; 0.1998; Sorcery; "Parley - Each player reveals the top card of their library. For each nonland card revealed this way, you create a 1/1 white Spirit creature token with flying. Then each player draws a card."; "• Except in some very rare cases, the card each player draws will be the card revealed from the top of their library."
2x; Rush of Battle; Khans of Tarkir; ; 4; 3W; 2; 0; 0; C; 0.3996; Sorcery; "Creatures you control get +2/+1 until end of turn. Warrior creatures you control gain lifelink until end of turn. (Damage dealt by those Warriors also causes their controller to gain that much life.)"; "• Warrior creatures you control as Rush of Battle resolves gain lifelink in addition to getting +2/+1."
2x; Sheer Drop; Duel Decks: Zendikar vs. Eldrazi; ; 3; 2W; 2; 0; 0; C; 0.3996; Sorcery; "Destroy target tapped creature.
Awaken 3-{5}{W} (If you cast this spell for {5}{W}, also put three +1/+1 counters on target land you control and it becomes a 0/0 Elemental creature with haste. It's still a land.)"; "• You can cast a spell with awaken for its mana cost and get only its first effect. If you cast a spell for its awaken cost, you'll get both effects.
• If the non-awaken part of the spell requires a target, you must choose a legal target. You can't cast the spell if you can't choose a legal target for each instance of the word target (though you only need a legal target for the awaken ability if you're casting the spell for its awaken cost).
• If a spell with awaken has multiple targets (including the land you control), and some but not all of those targets become illegal by the time the spell tries to resolve, the spell won't affect the illegal targets in any way.
• If the non-awaken part of the spell doesn't require a target and you cast the spell for its awaken cost, then the spell won't resolve if the target land you control becomes illegal before the spell resolves (such as due to being destroyed in response to the spell being cast).
• The land will retain any other types, subtypes, or supertypes it previously had. It will also retain any mana abilities it had as a result of those subtypes. For example, a Forest that's turned into a creature this way can still be tapped for {G}.
• Awaken doesn't give the land you control a color. As most lands are colorless, in most cases the resulting land creature will also be colorless."
3x; Solemn Offering; Magic 2015; ; 3; 2W; 3; 0; 0; C; 0.5994; Sorcery; "Destroy target artifact or enchantment. You gain 4 life."; "• If the targeted permanent is an illegal target by the time Solemn Offering would resolve, the entire spell doesn't resolve. You won't gain any life."
